Id,mean_exam_points
10000,54.0
10001,62.0
10002,52.0
10003,88.0
10004,88.0
10005,60.0
10006,44.0
10007,53.0
10008,60.0
10009,79.0
10010,52.0
10011,61.0
10012,49.0
10013,85.0
10014,65.0
10015,62.0
10016,89.0
10017,54.0
10018,54.0
10019,53.0
10020,79.0
10021,61.0
10022,66.0
10023,60.0
10024,53.0
10025,81.0
10026,59.0
10027,53.0
10028,60.0
10029,54.0
10030,71.0
10031,57.0
10032,48.0
10033,52.0
10034,51.0
10035,70.0
10036,55.0
10037,74.0
10038,59.0
10039,89.0
10040,88.0
10041,62.0
10042,60.0
10043,62.0
10044,59.0
10045,50.0
10046,51.0
10047,48.0
10048,60.0
10049,85.0
10050,49.0
10051,88.0
10052,54.0
10053,54.0
10054,54.0
10055,58.0
10056,69.0
10057,53.0
10058,65.0
10059,71.0
10060,65.0
10061,58.0
10062,60.0
10063,54.0
10064,58.0
10065,53.0
10066,51.0
10067,85.0
10068,59.0
10069,59.0
10070,63.0
10071,58.0
10072,54.0
10073,53.0
10074,69.0
10075,60.0
10076,70.0
10077,60.0
10078,61.0
10079,79.0
10080,58.0
10081,59.0
10082,84.0
10083,72.0
10084,55.0
10085,58.0
10086,84.0
10087,79.0
10088,46.0
10089,86.0
10090,55.0
10091,51.0
10092,58.0
10093,69.0
10094,69.0
10095,55.0
10096,88.0
10097,69.0
10098,84.0
10099,54.0
10100,84.0
10101,54.0
10102,59.0
10103,70.0
10104,55.0
10105,56.0
10106,54.0
10107,54.0
10108,55.0
10109,50.0
10110,57.0
10111,49.0
10112,69.0
10113,59.0
10114,57.0
10115,80.0
10116,50.0
10117,83.0
10118,51.0
10119,59.0
10120,64.0
10121,57.0
10122,83.0
10123,57.0
10124,54.0
10125,75.0
10126,50.0
10127,61.0
10128,54.0
10129,55.0
10130,69.0
10131,63.0
10132,49.0
10133,74.0
10134,81.0
10135,84.0
10136,64.0
10137,52.0
10138,84.0
10139,65.0
10140,58.0
10141,61.0
10142,74.0
10143,60.0
10144,46.0
10145,52.0
10146,62.0
10147,55.0
10148,48.0
10149,61.0
10150,88.0
10151,69.0
10152,83.0
10153,62.0
10154,54.0
10155,69.0
10156,57.0
10157,59.0
10158,60.0
10159,57.0
10160,50.0
10161,70.0
10162,50.0
10163,53.0
10164,62.0
10165,83.0
10166,79.0
10167,62.0
10168,81.0
10169,54.0
10170,52.0
10171,52.0
10172,59.0
10173,64.0
10174,61.0
10175,60.0
10176,65.0
10177,55.0
10178,58.0
10179,59.0
10180,74.0
10181,60.0
10182,65.0
10183,54.0
10184,80.0
10185,60.0
10186,59.0
10187,88.0
10188,54.0
10189,61.0
10190,83.0
10191,53.0
10192,72.0
10193,83.0
10194,79.0
10195,74.0
10196,55.0
10197,50.0
10198,43.0
10199,54.0
10200,52.0
10201,52.0
10202,57.0
10203,71.0
10204,69.0
10205,59.0
10206,46.0
10207,70.0
10208,79.0
10209,54.0
10210,89.0
10211,75.0
10212,70.0
10213,84.0
10214,64.0
10215,58.0
10216,70.0
10217,60.0
10218,57.0
10219,59.0
10220,52.0
10221,60.0
10222,57.0
10223,59.0
10224,87.0
10225,61.0
10226,54.0
10227,51.0
10228,57.0
10229,53.0
10230,79.0
10231,76.0
10232,62.0
10233,54.0
10234,84.0
10235,59.0
10236,55.0
10237,62.0
10238,49.0
10239,80.0
10240,60.0
10241,83.0
10242,57.0
10243,53.0
10244,61.0
10245,69.0
10246,56.0
10247,88.0
10248,56.0
10249,75.0
10250,74.0
10251,58.0
10252,55.0
10253,81.0
10254,55.0
10255,56.0
10256,59.0
10257,69.0
10258,54.0
10259,57.0
10260,54.0
10261,83.0
10262,46.0
10263,74.0
10264,59.0
10265,54.0
10266,53.0
10267,83.0
10268,85.0
10269,79.0
10270,83.0
10271,54.0
10272,54.0
10273,71.0
10274,50.0
10275,52.0
10276,44.0
10277,76.0
10278,60.0
10279,61.0
10280,60.0
10281,79.0
10282,57.0
10283,84.0
10284,55.0
10285,57.0
10286,56.0
10287,61.0
10288,49.0
10289,65.0
10290,84.0
10291,54.0
10292,55.0
10293,54.0
10294,84.0
10295,54.0
10296,51.0
10297,60.0
10298,55.0
10299,54.0
10300,49.0
10301,68.0
10302,69.0
10303,54.0
10304,81.0
10305,69.0
10306,43.0
10307,84.0
10308,62.0
10309,55.0
10310,55.0
10311,55.0
10312,59.0
10313,90.0
10314,49.0
10315,85.0
10316,55.0
10317,46.0
10318,56.0
10319,87.0
10320,55.0
10321,89.0
10322,60.0
10323,79.0
10324,60.0
10325,54.0
10326,54.0
10327,79.0
10328,46.0
10329,63.0
10330,71.0
10331,60.0
10332,57.0
10333,73.0
10334,89.0
10335,64.0
10336,51.0
10337,65.0
10338,59.0
10339,59.0
10340,70.0
10341,62.0
10342,84.0
10343,75.0
10344,60.0
10345,68.0
10346,70.0
10347,60.0
10348,50.0
10349,72.0
10350,58.0
10351,60.0
10352,76.0
10353,54.0
10354,65.0
10355,70.0
10356,84.0
10357,61.0
10358,68.0
10359,51.0
10360,63.0
10361,65.0
10362,50.0
10363,69.0
10364,60.0
10365,64.0
10366,56.0
10367,59.0
10368,49.0
10369,69.0
10370,75.0
10371,80.0
10372,57.0
10373,52.0
10374,63.0
10375,53.0
10376,66.0
10377,55.0
10378,89.0
10379,83.0
10380,79.0
10381,64.0
10382,54.0
10383,60.0
10384,53.0
10385,60.0
10386,54.0
10387,56.0
10388,84.0
10389,50.0
10390,62.0
10391,59.0
10392,57.0
10393,81.0
10394,73.0
10395,57.0
10396,79.0
10397,77.0
10398,89.0
10399,58.0
10400,61.0
10401,85.0
10402,62.0
10403,83.0
10404,84.0
10405,84.0
10406,71.0
10407,54.0
10408,59.0
10409,63.0
10410,60.0
10411,57.0
10412,55.0
10413,61.0
10414,58.0
10415,52.0
10416,87.0
10417,59.0
10418,46.0
10419,64.0
10420,55.0
10421,54.0
10422,53.0
10423,63.0
10424,88.0
10425,59.0
10426,84.0
10427,69.0
10428,74.0
10429,79.0
10430,57.0
10431,71.0
10432,85.0
10433,84.0
10434,67.0
10435,69.0
10436,86.0
10437,69.0
10438,54.0
10439,55.0
10440,75.0
10441,56.0
10442,60.0
10443,43.0
10444,59.0
10445,56.0
10446,58.0
10447,54.0
10448,59.0
10449,60.0
10450,71.0
10451,84.0
10452,84.0
10453,82.0
10454,74.0
10455,52.0
10456,84.0
10457,53.0
10458,53.0
10459,61.0
10460,54.0
10461,62.0
10462,51.0
10463,58.0
10464,61.0
10465,55.0
10466,61.0
10467,63.0
10468,58.0
10469,53.0
10470,79.0
10471,60.0
10472,59.0
10473,54.0
10474,53.0
10475,60.0
10476,62.0
10477,58.0
10478,82.0
10479,74.0
10480,82.0
10481,57.0
10482,60.0
10483,74.0
10484,44.0
10485,55.0
10486,69.0
10487,55.0
10488,58.0
10489,60.0
10490,55.0
10491,58.0
10492,54.0
10493,55.0
10494,59.0
10495,83.0
10496,59.0
10497,87.0
10498,60.0
10499,60.0
10500,60.0
10501,85.0
10502,83.0
10503,58.0
10504,58.0
10505,53.0
10506,65.0
10507,88.0
10508,59.0
10509,87.0
10510,59.0
10511,79.0
10512,55.0
10513,54.0
10514,59.0
10515,59.0
10516,67.0
10517,57.0
10518,60.0
10519,82.0
10520,50.0
10521,53.0
10522,70.0
10523,59.0
10524,75.0
10525,82.0
10526,54.0
10527,89.0
10528,58.0
10529,60.0
10530,61.0
10531,53.0
10532,55.0
10533,59.0
10534,79.0
10535,55.0
10536,55.0
10537,84.0
10538,55.0
10539,55.0
10540,65.0
10541,50.0
10542,55.0
10543,56.0
10544,59.0
10545,83.0
10546,57.0
10547,68.0
10548,79.0
10549,64.0
10550,70.0
10551,88.0
10552,60.0
10553,57.0
10554,52.0
10555,88.0
10556,59.0
10557,60.0
10558,49.0
10559,78.0
10560,65.0
10561,44.0
10562,54.0
10563,84.0
10564,84.0
10565,84.0
10566,59.0
10567,60.0
10568,53.0
10569,65.0
10570,58.0
10571,62.0
10572,85.0
10573,61.0
10574,69.0
10575,79.0
10576,58.0
10577,81.0
10578,83.0
10579,56.0
10580,55.0
10581,84.0
10582,88.0
10583,54.0
10584,43.0
10585,54.0
10586,54.0
10587,78.0
10588,79.0
10589,79.0
10590,59.0
10591,52.0
10592,59.0
10593,64.0
10594,58.0
10595,63.0
10596,60.0
10597,54.0
10598,60.0
10599,54.0
10600,60.0
10601,79.0
10602,64.0
10603,58.0
10604,87.0
10605,71.0
10606,74.0
10607,83.0
10608,58.0
10609,64.0
10610,48.0
10611,70.0
10612,43.0
10613,59.0
10614,89.0
10615,53.0
10616,71.0
10617,60.0
10618,62.0
10619,70.0
10620,59.0
10621,60.0
10622,54.0
10623,59.0
10624,79.0
10625,84.0
10626,71.0
10627,69.0
10628,79.0
10629,50.0
10630,53.0
10631,58.0
10632,79.0
10633,46.0
10634,88.0
10635,84.0
10636,58.0
10637,57.0
10638,69.0
10639,56.0
10640,53.0
10641,74.0
10642,63.0
10643,58.0
10644,55.0
10645,54.0
10646,58.0
10647,85.0
10648,54.0
10649,60.0
10650,60.0
10651,89.0
10652,58.0
10653,58.0
10654,54.0
10655,58.0
10656,59.0
10657,70.0
10658,46.0
10659,59.0
10660,64.0
10661,86.0
10662,84.0
10663,58.0
10664,61.0
10665,83.0
10666,46.0
10667,60.0
10668,83.0
10669,57.0
10670,83.0
10671,58.0
10672,65.0
10673,55.0
10674,81.0
10675,54.0
10676,69.0
10677,83.0
10678,61.0
10679,54.0
10680,70.0
10681,53.0
10682,64.0
10683,54.0
10684,52.0
10685,60.0
10686,57.0
10687,84.0
10688,54.0
10689,74.0
10690,58.0
10691,72.0
10692,84.0
10693,79.0
10694,71.0
10695,55.0
10696,57.0
10697,70.0
10698,87.0
10699,64.0
10700,79.0
10701,62.0
10702,58.0
10703,59.0
10704,55.0
10705,81.0
10706,49.0
10707,85.0
10708,50.0
10709,46.0
10710,61.0
10711,52.0
10712,55.0
10713,57.0
10714,55.0
10715,61.0
10716,79.0
10717,88.0
10718,56.0
10719,55.0
10720,70.0
10721,55.0
10722,65.0
10723,63.0
10724,78.0
10725,54.0
10726,59.0
10727,60.0
10728,78.0
10729,74.0
10730,86.0
10731,84.0
10732,60.0
10733,61.0
10734,64.0
10735,59.0
10736,54.0
10737,54.0
10738,52.0
10739,79.0
10740,55.0
10741,84.0
10742,65.0
10743,60.0
10744,71.0
10745,83.0
10746,59.0
10747,83.0
10748,49.0
10749,44.0
10750,57.0
10751,64.0
10752,60.0
10753,63.0
10754,71.0
10755,65.0
10756,64.0
10757,54.0
10758,50.0
10759,61.0
10760,83.0
10761,52.0
10762,60.0
10763,55.0
10764,60.0
10765,54.0
10766,69.0
10767,58.0
10768,69.0
10769,85.0
10770,55.0
10771,84.0
10772,58.0
10773,55.0
10774,54.0
10775,57.0
10776,54.0
10777,51.0
10778,53.0
10779,69.0
10780,60.0
10781,63.0
10782,58.0
10783,68.0
10784,58.0
10785,57.0
10786,76.0
10787,62.0
10788,66.0
10789,89.0
10790,59.0
10791,55.0
10792,55.0
10793,80.0
10794,54.0
10795,79.0
10796,53.0
10797,55.0
10798,59.0
10799,84.0
10800,80.0
10801,54.0
10802,46.0
10803,79.0
10804,60.0
10805,79.0
10806,69.0
10807,84.0
10808,54.0
10809,49.0
10810,69.0
10811,59.0
10812,59.0
10813,52.0
10814,64.0
10815,64.0
10816,70.0
10817,52.0
10818,74.0
10819,54.0
10820,55.0
10821,50.0
10822,56.0
10823,83.0
10824,54.0
10825,87.0
10826,69.0
10827,79.0
10828,87.0
10829,62.0
10830,54.0
10831,44.0
10832,50.0
10833,60.0
10834,53.0
10835,84.0
10836,53.0
10837,49.0
10838,54.0
10839,49.0
10840,55.0
10841,58.0
10842,54.0
10843,60.0
10844,54.0
10845,61.0
10846,52.0
10847,57.0
10848,59.0
10849,56.0
10850,53.0
10851,53.0
10852,48.0
10853,59.0
10854,84.0
10855,62.0
10856,79.0
10857,59.0
10858,60.0
10859,57.0
10860,57.0
10861,46.0
10862,60.0
10863,44.0
10864,52.0
10865,54.0
10866,69.0
10867,65.0
10868,60.0
10869,57.0
10870,74.0
10871,53.0
10872,71.0
10873,79.0
10874,54.0
10875,61.0
10876,49.0
10877,55.0
10878,54.0
10879,71.0
10880,54.0
10881,85.0
10882,52.0
10883,48.0
10884,60.0
10885,70.0
10886,53.0
10887,55.0
10888,85.0
10889,69.0
10890,55.0
10891,54.0
10892,54.0
10893,74.0
10894,61.0
10895,79.0
10896,83.0
10897,54.0
10898,55.0
10899,63.0
10900,61.0
10901,54.0
10902,54.0
10903,49.0
10904,75.0
10905,54.0
10906,70.0
10907,55.0
10908,65.0
10909,59.0
10910,83.0
10911,62.0
10912,84.0
10913,62.0
10914,44.0
10915,84.0
10916,55.0
10917,59.0
10918,68.0
10919,68.0
10920,84.0
10921,62.0
10922,60.0
10923,53.0
10924,84.0
10925,69.0
10926,52.0
10927,58.0
10928,69.0
10929,55.0
10930,84.0
10931,53.0
10932,44.0
10933,86.0
10934,60.0
10935,63.0
10936,66.0
10937,59.0
10938,55.0
10939,49.0
10940,59.0
10941,60.0
10942,70.0
10943,55.0
10944,59.0
10945,49.0
10946,51.0
10947,54.0
10948,64.0
10949,56.0
10950,57.0
10951,72.0
10952,49.0
10953,69.0
10954,57.0
10955,54.0
10956,53.0
10957,54.0
10958,60.0
10959,59.0
10960,53.0
10961,57.0
10962,69.0
10963,55.0
10964,51.0
10965,62.0
10966,55.0
10967,57.0
10968,58.0
10969,43.0
10970,53.0
10971,64.0
10972,83.0
10973,57.0
10974,87.0
10975,59.0
10976,56.0
10977,49.0
10978,64.0
10979,60.0
10980,83.0
10981,54.0
10982,74.0
10983,86.0
10984,55.0
10985,60.0
10986,55.0
10987,55.0
10988,64.0
10989,61.0
10990,54.0
10991,55.0
10992,57.0
10993,84.0
10994,57.0
10995,60.0
10996,60.0
10997,55.0
10998,61.0
10999,75.0
11000,52.0
11001,55.0
11002,84.0
11003,52.0
11004,60.0
11005,59.0
11006,60.0
11007,69.0
11008,64.0
11009,55.0
11010,60.0
11011,62.0
11012,43.0
11013,89.0
11014,60.0
11015,85.0
11016,59.0
11017,54.0
11018,85.0
11019,54.0
11020,55.0
11021,85.0
11022,81.0
11023,58.0
11024,54.0
11025,58.0
11026,61.0
11027,59.0
11028,84.0
11029,52.0
11030,60.0
11031,83.0
11032,75.0
11033,59.0
11034,55.0
11035,84.0
11036,74.0
11037,75.0
11038,60.0
11039,54.0
11040,65.0
11041,65.0
11042,54.0
11043,84.0
11044,71.0
11045,69.0
11046,89.0
11047,86.0
11048,62.0
11049,59.0
11050,53.0
11051,57.0
11052,87.0
11053,62.0
11054,64.0
11055,69.0
11056,63.0
11057,79.0
11058,87.0
11059,57.0
11060,84.0
11061,55.0
11062,49.0
11063,84.0
11064,70.0
11065,59.0
11066,70.0
11067,55.0
11068,59.0
11069,62.0
11070,89.0
11071,83.0
11072,65.0
11073,54.0
11074,71.0
11075,69.0
11076,60.0
11077,83.0
11078,49.0
11079,79.0
11080,83.0
11081,46.0
11082,84.0
11083,54.0
11084,79.0
11085,78.0
11086,81.0
11087,84.0
11088,59.0
11089,53.0
11090,71.0
11091,44.0
11092,59.0
11093,65.0
11094,53.0
11095,64.0
11096,53.0
11097,53.0
11098,62.0
11099,53.0
11100,52.0
11101,74.0
11102,84.0
11103,87.0
11104,85.0
11105,53.0
11106,57.0
11107,74.0
11108,63.0
11109,60.0
11110,59.0
11111,79.0
11112,55.0
11113,64.0
11114,82.0
11115,56.0
11116,86.0
11117,75.0
11118,82.0
11119,63.0
11120,57.0
11121,70.0
11122,62.0
11123,83.0
11124,87.0
11125,53.0
11126,57.0
11127,48.0
11128,62.0
11129,68.0
11130,75.0
11131,57.0
11132,55.0
11133,71.0
11134,57.0
11135,84.0
11136,60.0
11137,85.0
11138,82.0
11139,65.0
11140,62.0
11141,74.0
11142,52.0
11143,78.0
11144,58.0
11145,52.0
11146,62.0
11147,60.0
11148,55.0
11149,55.0
11150,60.0
11151,64.0
11152,50.0
11153,56.0
11154,79.0
11155,59.0
11156,70.0
11157,52.0
11158,84.0
11159,55.0
11160,55.0
11161,54.0
11162,84.0
11163,52.0
11164,52.0
11165,55.0
11166,46.0
11167,79.0
11168,55.0
11169,63.0
11170,57.0
11171,59.0
11172,89.0
11173,64.0
11174,54.0
11175,84.0
11176,60.0
11177,70.0
11178,65.0
11179,56.0
11180,87.0
11181,49.0
11182,55.0
11183,85.0
11184,49.0
11185,54.0
11186,55.0
11187,85.0
11188,53.0
11189,68.0
11190,83.0
11191,55.0
11192,87.0
11193,63.0
11194,84.0
11195,60.0
11196,69.0
11197,53.0
11198,70.0
11199,61.0
11200,59.0
11201,88.0
11202,75.0
11203,59.0
11204,59.0
11205,59.0
11206,60.0
11207,61.0
11208,73.0
11209,60.0
11210,64.0
11211,56.0
11212,60.0
11213,70.0
11214,54.0
11215,58.0
11216,74.0
11217,59.0
11218,85.0
11219,85.0
11220,55.0
11221,53.0
11222,70.0
11223,53.0
11224,59.0
11225,87.0
11226,57.0
11227,57.0
11228,65.0
11229,60.0
11230,64.0
11231,71.0
11232,64.0
11233,62.0
11234,54.0
11235,89.0
11236,52.0
11237,43.0
11238,59.0
11239,55.0
11240,58.0
11241,54.0
11242,84.0
11243,85.0
11244,49.0
11245,56.0
11246,59.0
11247,66.0
11248,46.0
11249,72.0
11250,54.0
11251,56.0
11252,66.0
11253,59.0
11254,89.0
11255,60.0
11256,54.0
11257,84.0
11258,49.0
11259,57.0
11260,55.0
11261,55.0
11262,60.0
11263,61.0
11264,83.0
11265,60.0
11266,58.0
11267,49.0
11268,54.0
11269,80.0
11270,64.0
11271,84.0
11272,55.0
11273,64.0
11274,52.0
11275,60.0
11276,64.0
11277,50.0
11278,43.0
11279,54.0
11280,84.0
11281,59.0
11282,55.0
11283,59.0
11284,54.0
11285,50.0
11286,58.0
11287,58.0
11288,84.0
11289,70.0
11290,59.0
11291,60.0
11292,53.0
11293,52.0
11294,79.0
11295,88.0
11296,74.0
11297,84.0
11298,49.0
11299,60.0
11300,59.0
11301,59.0
11302,55.0
11303,53.0
11304,84.0
11305,48.0
11306,59.0
11307,52.0
11308,59.0
11309,44.0
11310,64.0
11311,57.0
11312,54.0
11313,53.0
11314,55.0
11315,50.0
11316,90.0
11317,83.0
11318,59.0
11319,55.0
11320,52.0
11321,57.0
11322,79.0
11323,53.0
11324,54.0
11325,77.0
11326,89.0
11327,58.0
11328,55.0
11329,55.0
11330,69.0
11331,66.0
11332,75.0
11333,69.0
11334,64.0
11335,53.0
11336,59.0
11337,59.0
11338,60.0
11339,69.0
11340,58.0
11341,51.0
11342,89.0
11343,63.0
11344,64.0
11345,50.0
11346,85.0
11347,58.0
11348,59.0
11349,55.0
11350,85.0
11351,55.0
11352,59.0
11353,59.0
11354,59.0
11355,51.0
11356,66.0
11357,62.0
11358,87.0
11359,71.0
11360,84.0
11361,61.0
11362,53.0
11363,84.0
11364,83.0
11365,83.0
11366,57.0
11367,52.0
11368,62.0
11369,59.0
11370,84.0
11371,84.0
11372,55.0
11373,55.0
11374,89.0
11375,58.0
11376,85.0
11377,79.0
11378,55.0
11379,50.0
11380,84.0
11381,80.0
11382,57.0
11383,61.0
11384,60.0
11385,54.0
11386,72.0
11387,70.0
11388,54.0
11389,89.0
11390,53.0
11391,89.0
11392,69.0
11393,55.0
11394,64.0
11395,79.0
11396,60.0
11397,55.0
11398,56.0
11399,58.0
11400,65.0
11401,85.0
11402,87.0
11403,69.0
11404,61.0
11405,55.0
11406,68.0
11407,56.0
11408,83.0
11409,69.0
11410,64.0
11411,80.0
11412,60.0
11413,79.0
11414,53.0
11415,83.0
11416,61.0
11417,52.0
11418,86.0
11419,65.0
11420,54.0
11421,64.0
11422,63.0
11423,55.0
11424,70.0
11425,49.0
11426,58.0
11427,69.0
11428,54.0
11429,61.0
11430,56.0
11431,50.0
11432,69.0
11433,60.0
11434,60.0
11435,65.0
11436,81.0
11437,63.0
11438,80.0
11439,55.0
11440,46.0
11441,61.0
11442,49.0
11443,54.0
11444,62.0
11445,57.0
11446,60.0
11447,79.0
11448,44.0
11449,84.0
11450,52.0
11451,84.0
11452,74.0
11453,74.0
11454,81.0
11455,56.0
11456,48.0
11457,60.0
11458,55.0
11459,47.0
11460,72.0
11461,55.0
11462,70.0
11463,59.0
11464,69.0
11465,57.0
11466,70.0
11467,85.0
11468,83.0
11469,87.0
11470,64.0
11471,60.0
11472,69.0
11473,55.0
11474,56.0
11475,60.0
11476,54.0
11477,71.0
11478,55.0
11479,53.0
11480,58.0
11481,53.0
11482,54.0
11483,50.0
11484,70.0
11485,54.0
11486,49.0
11487,57.0
11488,70.0
11489,79.0
11490,57.0
11491,58.0
11492,59.0
11493,48.0
11494,49.0
11495,68.0
11496,74.0
11497,54.0
11498,84.0
11499,63.0
11500,84.0
11501,83.0
11502,70.0
11503,58.0
11504,57.0
11505,64.0
11506,52.0
11507,62.0
11508,63.0
11509,57.0
11510,52.0
11511,52.0
11512,83.0
11513,82.0
11514,53.0
11515,80.0
11516,57.0
11517,69.0
11518,79.0
11519,69.0
11520,54.0
11521,58.0
11522,55.0
11523,83.0
11524,55.0
11525,48.0
11526,84.0
11527,56.0
11528,57.0
11529,50.0
11530,70.0
11531,87.0
11532,54.0
11533,44.0
11534,75.0
11535,49.0
11536,60.0
11537,83.0
11538,62.0
11539,53.0
11540,71.0
11541,62.0
11542,55.0
11543,61.0
11544,84.0
11545,50.0
11546,79.0
11547,59.0
11548,53.0
11549,60.0
11550,83.0
11551,63.0
11552,87.0
11553,55.0
11554,49.0
11555,84.0
11556,52.0
11557,69.0
11558,70.0
11559,79.0
11560,60.0
11561,83.0
11562,58.0
11563,56.0
11564,70.0
11565,73.0
11566,59.0
11567,63.0
11568,55.0
11569,90.0
11570,70.0
11571,58.0
11572,52.0
11573,64.0
11574,79.0
11575,58.0
11576,60.0
11577,69.0
11578,53.0
11579,56.0
11580,59.0
11581,79.0
11582,58.0
11583,79.0
11584,60.0
11585,79.0
11586,83.0
11587,52.0
11588,60.0
11589,60.0
11590,84.0
11591,54.0
11592,60.0
11593,62.0
11594,87.0
11595,48.0
11596,48.0
11597,58.0
11598,55.0
11599,54.0
11600,81.0
11601,55.0
11602,55.0
11603,54.0
11604,55.0
11605,84.0
11606,53.0
11607,59.0
11608,89.0
11609,50.0
11610,55.0
11611,55.0
11612,58.0
11613,59.0
11614,75.0
11615,52.0
11616,64.0
11617,59.0
11618,75.0
11619,84.0
11620,56.0
11621,55.0
11622,59.0
11623,55.0
11624,55.0
11625,53.0
11626,85.0
11627,84.0
11628,68.0
11629,72.0
11630,87.0
11631,78.0
11632,62.0
11633,54.0
11634,60.0
11635,60.0
11636,58.0
11637,44.0
11638,57.0
11639,84.0
11640,83.0
11641,62.0
11642,61.0
11643,62.0
11644,79.0
11645,43.0
11646,75.0
11647,75.0
11648,64.0
11649,60.0
11650,61.0
11651,84.0
11652,55.0
11653,58.0
11654,48.0
11655,85.0
11656,84.0
11657,54.0
11658,84.0
11659,57.0
11660,60.0
11661,54.0
11662,87.0
11663,60.0
11664,63.0
11665,55.0
11666,52.0
11667,69.0
11668,85.0
11669,60.0
11670,53.0
11671,60.0
11672,87.0
11673,70.0
11674,79.0
11675,69.0
11676,72.0
11677,71.0
11678,75.0
11679,69.0
11680,49.0
11681,71.0
11682,83.0
11683,50.0
11684,68.0
11685,46.0
11686,59.0
11687,84.0
11688,79.0
11689,69.0
11690,83.0
11691,54.0
11692,60.0
11693,79.0
11694,54.0
11695,70.0
11696,53.0
11697,54.0
11698,59.0
11699,69.0
11700,63.0
11701,79.0
11702,60.0
11703,49.0
11704,61.0
11705,55.0
11706,53.0
11707,86.0
11708,60.0
11709,50.0
11710,84.0
11711,82.0
11712,59.0
11713,61.0
11714,63.0
11715,85.0
11716,69.0
11717,57.0
11718,84.0
11719,70.0
11720,52.0
11721,73.0
11722,69.0
11723,78.0
11724,59.0
11725,56.0
11726,83.0
11727,62.0
11728,63.0
11729,54.0
11730,54.0
11731,54.0
11732,62.0
11733,54.0
11734,49.0
11735,68.0
11736,49.0
11737,84.0
11738,60.0
11739,56.0
11740,60.0
11741,59.0
11742,52.0
11743,83.0
11744,60.0
11745,56.0
11746,71.0
11747,54.0
11748,55.0
11749,86.0
11750,55.0
11751,65.0
11752,86.0
11753,64.0
11754,58.0
11755,54.0
11756,53.0
11757,52.0
11758,55.0
11759,56.0
11760,63.0
11761,60.0
11762,59.0
11763,64.0
11764,52.0
11765,60.0
11766,54.0
11767,84.0
11768,79.0
11769,83.0
11770,52.0
11771,53.0
11772,70.0
11773,57.0
11774,55.0
11775,59.0
11776,72.0
11777,55.0
11778,68.0
11779,79.0
11780,53.0
11781,57.0
11782,54.0
11783,75.0
11784,54.0
11785,79.0
11786,59.0
11787,56.0
11788,54.0
11789,60.0
11790,82.0
11791,59.0
11792,74.0
11793,71.0
11794,74.0
11795,55.0
11796,88.0
11797,79.0
11798,65.0
11799,54.0
11800,87.0
11801,59.0
11802,63.0
11803,53.0
11804,58.0
11805,60.0
11806,89.0
11807,57.0
11808,50.0
11809,55.0
11810,49.0
11811,59.0
11812,70.0
11813,55.0
11814,61.0
11815,54.0
11816,72.0
11817,87.0
11818,56.0
11819,59.0
11820,71.0
11821,63.0
11822,70.0
11823,61.0
11824,61.0
11825,70.0
11826,67.0
11827,89.0
11828,60.0
11829,70.0
11830,84.0
11831,54.0
11832,84.0
11833,54.0
11834,84.0
11835,60.0
11836,57.0
11837,57.0
11838,54.0
11839,74.0
11840,60.0
11841,57.0
11842,84.0
11843,60.0
11844,85.0
11845,69.0
11846,55.0
11847,62.0
11848,61.0
11849,54.0
11850,79.0
11851,49.0
11852,62.0
11853,57.0
11854,49.0
11855,60.0
11856,60.0
