Id,mean_exam_points
10000,54.0
10001,60.0
10002,48.0
10003,85.0
10004,91.0
10005,63.0
10006,41.0
10007,54.0
10008,62.0
10009,79.0
10010,51.0
10011,64.0
10012,44.0
10013,85.0
10014,66.0
10015,62.0
10016,90.0
10017,54.0
10018,52.0
10019,51.0
10020,77.0
10021,64.0
10022,66.0
10023,64.0
10024,52.0
10025,83.0
10026,59.0
10027,54.0
10028,59.0
10029,52.0
10030,74.0
10031,60.0
10032,44.0
10033,51.0
10034,45.0
10035,71.0
10036,56.0
10037,74.0
10038,58.0
10039,90.0
10040,86.0
10041,63.0
10042,60.0
10043,64.0
10044,51.0
10045,46.0
10046,46.0
10047,44.0
10048,58.0
10049,85.0
10050,45.0
10051,91.0
10052,53.0
10053,54.0
10054,54.0
10055,63.0
10056,70.0
10057,52.0
10058,68.0
10059,66.0
10060,66.0
10061,59.0
10062,64.0
10063,54.0
10064,56.0
10065,54.0
10066,51.0
10067,86.0
10068,58.0
10069,60.0
10070,63.0
10071,56.0
10072,54.0
10073,51.0
10074,68.0
10075,62.0
10076,70.0
10077,59.0
10078,59.0
10079,80.0
10080,56.0
10081,51.0
10082,86.0
10083,74.0
10084,53.0
10085,57.0
10086,86.0
10087,77.0
10088,43.0
10089,94.0
10090,55.0
10091,52.0
10092,59.0
10093,70.0
10094,66.0
10095,55.0
10096,88.0
10097,70.0
10098,84.0
10099,54.0
10100,84.0
10101,52.0
10102,59.0
10103,71.0
10104,53.0
10105,52.0
10106,55.0
10107,54.0
10108,53.0
10109,49.0
10110,60.0
10111,49.0
10112,68.0
10113,59.0
10114,57.0
10115,82.0
10116,49.0
10117,83.0
10118,45.0
10119,58.0
10120,64.0
10121,67.0
10122,81.0
10123,58.0
10124,54.0
10125,75.0
10126,47.0
10127,64.0
10128,55.0
10129,56.0
10130,69.0
10131,64.0
10132,45.0
10133,76.0
10134,78.0
10135,84.0
10136,52.0
10137,51.0
10138,84.0
10139,66.0
10140,56.0
10141,60.0
10142,75.0
10143,61.0
10144,43.0
10145,49.0
10146,63.0
10147,55.0
10148,40.0
10149,64.0
10150,85.0
10151,70.0
10152,79.0
10153,61.0
10154,53.0
10155,70.0
10156,60.0
10157,59.0
10158,61.0
10159,57.0
10160,49.0
10161,71.0
10162,44.0
10163,54.0
10164,61.0
10165,84.0
10166,80.0
10167,62.0
10168,82.0
10169,54.0
10170,51.0
10171,51.0
10172,59.0
10173,64.0
10174,64.0
10175,64.0
10176,65.0
10177,52.0
10178,56.0
10179,60.0
10180,75.0
10181,64.0
10182,63.0
10183,53.0
10184,77.0
10185,69.0
10186,59.0
10187,80.0
10188,53.0
10189,61.0
10190,83.0
10191,53.0
10192,71.0
10193,83.0
10194,79.0
10195,66.0
10196,57.0
10197,49.0
10198,39.0
10199,54.0
10200,51.0
10201,51.0
10202,57.0
10203,68.0
10204,70.0
10205,59.0
10206,43.0
10207,73.0
10208,78.0
10209,53.0
10210,89.0
10211,75.0
10212,71.0
10213,85.0
10214,68.0
10215,56.0
10216,71.0
10217,61.0
10218,56.0
10219,60.0
10220,61.0
10221,63.0
10222,61.0
10223,59.0
